Composer,Piece,Movement
Cécile Chaminade,Album des enfants Op. 123,No. 19 Orientale
Cécile Chaminade,Album des enfants Op. 123,No. 20 Scarf Dance
Cécile Chaminade,Album des enfants Op. 123,No. 21 Solitude
Cécile Chaminade,Pièces pittoresques Op. 21,No. 1 Carillon
Cécile Chaminade,Pièces pittoresques Op. 21,No. 2 Étude mélodique
Cécile Chaminade,Pièces pittoresques Op. 21,No. 3 Idylle
Cécile Chaminade,Pièces pittoresques Op. 21,No. 4 Cérémonie
Cécile Chaminade,Pièces pittoresques Op. 21,No. 5 Chanson triste
Cécile Chaminade,Pièces pittoresques Op. 21,No. 6 Paysage
Antonín Dvořák,Piano Suite in A major Op. 98 B.162,1. Andante con moto
Antonín Dvořák,Piano Suite in A major Op. 98 B.162,"2. Allegro moderato, grazioso"
Antonín Dvořák,Piano Suite in A major Op. 98 B.162,3. Andante
Antonín Dvořák,Piano Suite in A major Op. 98 B.162,4. Andante – Molto vivace
Antonín Dvořák,Piano Suite in A major Op. 98 B.162,5. Allegro
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 1 Twilight Way
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 2 Toying
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 3 In the Old Castle
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 4 Spring Song
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 5 Peasant Ballad
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 6 Sorrowful Reverie
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 7 Goblin's Dance
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 8 Serenata
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 9 At the Old Castle
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 10 Scherzo
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 11 Elegy
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 12 Capriccioso
Antonín Dvořák,Poetic Tone-Pictures Op. 85 B.161,No. 13 From Troubled Times
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 1 in E♭ major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 2 in B major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 3 in A♭ major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 4 in F major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 5 in A minor
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 6 in B♭ major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 7 in G♭ major
Antonín Dvořák,8 Humoresques Op. 101 B.187,No. 8 in B♭ minor
Antonín Dvořák,Piano Sonata in G major B.16 Op. posth.,1. Allegro assai
Antonín Dvořák,Piano Sonata in G major B.16 Op. posth.,2. Largo
Antonín Dvořák,Piano Sonata in G major B.16 Op. posth.,3. Finale: Presto
Antonín Dvořák,Theme and Variations in A♭ major Op. 36 B.65,-
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),1. Lento maestoso – Allegro quasi doppio movimento
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),2. Poco adagio – Vivace non troppo
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),3. Andante – Vivace non troppo
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),4. Andante moderato – Allegretto scherzando
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),5. Allegro – Poco adagio
Antonín Dvořák,Dumky Trio Op. 90 B.166 (piano trio),6. Lento maestoso – Vivace – Coda
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 1 in D minor
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 2 in G major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 3 in G minor
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 4 in C major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 5 in A♭ major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 6 in C♯ minor
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 7 in A major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 8 in F major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 9 in D major
Antonín Dvořák,Legends Op. 59 B.122 (piano four hands),No. 10 in B♭ minor
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 1
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 2
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 3
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 4
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 5
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 6
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 7
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 8
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 9
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 10
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 11
Antonín Dvořák,Silhouettes Op. 8 B.98,No. 12
Antonín Dvořák,Piano Quintet No. 2 in A major Op. 81 B.155,1. Allegro ma non tanto
Antonín Dvořák,Piano Quintet No. 2 in A major Op. 81 B.155,2. Dumka: Andante con moto
Antonín Dvořák,Piano Quintet No. 2 in A major Op. 81 B.155,3. Scherzo (Furiant): Molto vivace
Antonín Dvořák,Piano Quintet No. 2 in A major Op. 81 B.155,4. Finale: Allegro
Antonín Dvořák,Mazurkas Op. 56 B.111,No. 1 in F major
Antonín Dvořák,Mazurkas Op. 56 B.111,No. 2 in B minor
Antonín Dvořák,Mazurkas Op. 56 B.111,No. 3 in D major
Antonín Dvořák,Mazurkas Op. 56 B.111,No. 4 in C minor
Antonín Dvořák,Mazurkas Op. 56 B.111,No. 5 in A minor
Antonín Dvořák,Scottish Dances Op. 41 B.74 (piano four hands),No. 1
Antonín Dvořák,Scottish Dances Op. 41 B.74 (piano four hands),No. 2
Antonín Dvořák,Scottish Dances Op. 41 B.74 (piano four hands),No. 3
Antonín Dvořák,Scottish Dances Op. 41 B.74 (piano four hands),No. 4
Antonín Dvořák,Eclogues B.103,No. 1
Antonín Dvořák,Eclogues B.103,No. 2
Antonín Dvořák,Eclogues B.103,No. 3
Antonín Dvořák,Eclogues B.103,No. 4
Antonín Dvořák,Eclogues B.103,No. 5
Samuil Feinberg,Piano Sonata No. 1 in C major Op. 1,1. Allegro moderato
Samuil Feinberg,Piano Sonata No. 1 in C major Op. 1,2. Andante cantabile
Samuil Feinberg,Piano Sonata No. 1 in C major Op. 1,3. Presto
Samuil Feinberg,Piano Sonata No. 2 in A minor Op. 2,1. Allegro
Samuil Feinberg,Piano Sonata No. 2 in A minor Op. 2,2. Andante
Samuil Feinberg,Piano Sonata No. 2 in A minor Op. 2,3. Scherzo
Samuil Feinberg,Piano Sonata No. 2 in A minor Op. 2,4. Finale
Samuil Feinberg,Piano Sonata No. 3 in E major Op. 3,1. Allegro con fuoco
Samuil Feinberg,Piano Sonata No. 3 in E major Op. 3,2. Andante sostenuto
Samuil Feinberg,Piano Sonata No. 3 in E major Op. 3,3. Allegro vivace
Samuil Feinberg,Piano Sonata No. 4 in C minor Op. 6,-
Samuil Feinberg,Piano Sonata No. 5 in E minor Op. 10,-
Samuil Feinberg,Piano Sonata No. 6 in B major Op. 13,-
Samuil Feinberg,Piano Sonata No. 7 in B minor Op. 15,-
Samuil Feinberg,Piano Sonata No. 8 in F minor Op. 21,-
Samuil Feinberg,Piano Sonata No. 9 in E major Op. 22,-
Samuil Feinberg,Piano Sonata No. 10 in C major Op. 30,-
Samuil Feinberg,Piano Sonata No. 11 in D♭ major Op. 35,-
Samuil Feinberg,Piano Sonata No. 12 in E♭ minor Op. 38,-
Samuil Feinberg,Nocturne in D♭ major Op. 5 No. 1,-
Samuil Feinberg,Nocturne in E major Op. 5 No. 2,-
Samuil Feinberg,Nocturne in G♭ major Op. 5 No. 3,-
Samuil Feinberg,Fantasie in D major Op. 4,-
Samuil Feinberg,Suites Op. 11 Nos. 1–3,Suite No. 1
Samuil Feinberg,Suites Op. 11 Nos. 1–3,Suite No. 2
Samuil Feinberg,Suites Op. 11 Nos. 1–3,Suite No. 3
Samuil Feinberg,6 Pieces Op. 22,No. 1
Samuil Feinberg,6 Pieces Op. 22,No. 2
Samuil Feinberg,6 Pieces Op. 22,No. 3
Samuil Feinberg,6 Pieces Op. 22,No. 4
Samuil Feinberg,6 Pieces Op. 22,No. 5
Samuil Feinberg,6 Pieces Op. 22,No. 6
Johann Sebastian Bach / Samuil Feinberg (arr.),Well-Tempered Clavier Book I – selected transcriptions (arr. Feinberg),Prelude and Fugue No. 1 in C major BWV 846
Johann Sebastian Bach / Samuil Feinberg (arr.),Well-Tempered Clavier Book I – selected transcriptions (arr. Feinberg),Prelude and Fugue No. 2 in C minor BWV 847
Johann Sebastian Bach / Samuil Feinberg (arr.),Well-Tempered Clavier Book I – selected transcriptions (arr. Feinberg),Prelude and Fugue No. 8 in E♭ minor BWV 853
